terms
Abstract Expressionism
Abstraction
Action painting
Actuality
Appropriation
Arte concreto
Arte Povera
Art nouveau
Arts and Crafts movement
Automatism
Avant-garde
Bauhaus
Ben-Day dots
Biomorphic
Black Artsmovement
Black Maria
Black Mountain College
B movie
Brazilian Concrete art
Cityscape
CoBrA
Conceptual art
Concrete art
Constructivism
Critical Design
Cubism
Dada
Degenerate art
Der Blaue Reiter(The Blue Rider)
Die Brücke(The Bridge)
Earthwork
Expressionism
Exquisite corpse
Farm Security Administration(FSA)
Fauvism
Feminist art
Fluxus
Futurism
Happenings
Harlem Renaissance
Impressionism
Institutional critique
International Style
Mail art
Manifesto
Mass production
Neo-Impressionism
Neo-Plasticism
Neue Sacklichkeit
New Art
New Objectivity
Orphism
Photojournalism
Pictorialism
Pointillism
Pop art
Post-Impressionism
Postmodernism
Primitive Art
Radical Architecture
Readymade
Social Realism
Suprematism
Surrealism
Symbolism
Vorticism
Young British Artists
